Time,Channel B
(us),(mV)

-100.09329708,-5.21866500
-100.05329708,-3.45469500
-100.01329708,-3.45469500
-99.97329708,0.07324442
-99.93329708,1.83721400
-99.89329708,1.83721400
-99.85329708,3.60118400
-99.81329708,3.60118400
-99.77329708,5.36515400
-99.73329708,7.12912400
-99.69329708,7.12912400
-99.65329708,8.89309300
-99.61329708,8.89309300
-99.57329708,12.42103000
-99.53329708,14.18500000
-99.49329708,14.18500000
-99.45329708,15.94897000
-99.41329708,17.71294000
-99.37329708,17.71294000
-99.33329708,21.24088000
-99.29329708,21.24088000
-99.25329708,23.00485000
-99.21329708,23.00485000
-99.17329708,24.76882000
-99.13329708,24.76882000
-99.09329708,28.29676000
-99.05329708,30.06684000
-99.01329708,30.06684000
-98.97329709,30.06684000
-98.93329709,31.83080000
-98.89329709,33.59477000
-98.85329709,35.35874000
-98.81329709,37.12271000
-98.77329709,38.88668000
-98.73329709,37.12271000
-98.69329709,42.41463000
-98.65329709,42.41463000
-98.61329709,44.17860000
-98.57329709,44.17860000
-98.53329709,45.94257000
-98.49329709,47.70654000
-98.45329709,49.47050000
-98.41329709,49.47050000
-98.37329709,51.23447000
-98.33329709,51.23447000
-98.29329709,52.99844000
-98.25329709,52.99844000
-98.21329709,56.52638000
-98.17329709,56.52638000
-98.13329709,58.29646000
-98.09329709,58.29646000
-98.05329709,60.06042000
-98.01329709,61.82440000
-97.97329709,63.58836000
-97.93329709,63.58836000
-97.89329709,65.35233000
-97.85329709,65.35233000
-97.81329709,67.11631000
-97.77329709,68.88028000
-97.73329709,70.64425000
-97.69329709,70.64425000
-97.65329709,72.40822000
-97.61329709,72.40822000
-97.57329709,74.17219000
-97.53329709,74.17219000
-97.49329709,75.93616000
-97.45329709,77.70013000
-97.41329709,79.46410000
-97.37329709,79.46410000
-97.33329710,79.46410000
-97.29329710,81.22807000
-97.25329710,82.99203000
-97.21329710,84.75600000
-97.17329710,84.75600000
-97.13329710,86.52608000
-97.09329710,86.52608000
-97.05329710,86.52608000
-97.01329710,90.05402000
-96.97329710,90.05402000
-96.93329710,90.05402000
-96.89329710,91.81799000
-96.85329710,93.58195000
-96.81329710,93.58195000
-96.77329710,93.58195000
-96.73329710,95.34592000
-96.69329710,95.34592000
-96.65329710,97.10989000
-96.61329710,98.87386000
-96.57329710,100.63780000
-96.53329710,100.63780000
-96.49329710,100.63780000
-96.45329710,102.40180000
-96.41329710,102.40180000
-96.37329710,104.16580000
-96.33329710,105.92970000
-96.29329710,105.92970000
-96.25329710,107.69370000
-96.21329710,107.69370000
-96.17329710,107.69370000
-96.13329710,107.69370000
-96.09329710,109.45770000
-96.05329710,109.45770000
-96.01329710,111.22170000
-95.97329710,112.98560000
-95.93329710,112.98560000
-95.89329710,112.98560000
-95.85329710,114.75570000
-95.81329710,114.75570000
-95.77329710,114.75570000
-95.73329710,116.51970000
-95.69329711,116.51970000
-95.65329711,116.51970000
-95.61329711,118.28360000
-95.57329711,120.04760000
-95.53329711,120.04760000
-95.49329711,120.04760000
-95.45329711,121.81160000
-95.41329711,121.81160000
-95.37329711,121.81160000
-95.33329711,121.81160000
-95.29329711,123.57550000
-95.25329711,123.57550000
-95.21329711,123.57550000
-95.17329711,125.33950000
-95.13329711,127.10350000
-95.09329711,127.10350000
-95.05329711,127.10350000
-95.01329711,127.10350000
-94.97329711,128.86740000
-94.93329711,128.86740000
-94.89329711,128.86740000
-94.85329711,128.86740000
-94.81329711,128.86740000
-94.77329711,128.86740000
-94.73329711,128.86740000
-94.69329711,130.63140000
-94.65329711,130.63140000
-94.61329711,130.63140000
-94.57329711,130.63140000
-94.53329711,132.39540000
-94.49329711,132.39540000
-94.45329711,132.39540000
-94.41329711,134.15940000
-94.37329711,134.15940000
-94.33329711,134.15940000
-94.29329711,134.15940000
-94.25329711,134.15940000
-94.21329711,134.15940000
-94.17329711,134.15940000
-94.13329711,134.15940000
-94.09329711,135.92330000
-94.05329711,134.15940000
-94.01329712,135.92330000
-93.97329712,135.92330000
-93.93329712,135.92330000
-93.89329712,135.92330000
-93.85329712,135.92330000
-93.81329712,135.92330000
-93.77329712,135.92330000
-93.73329712,135.92330000
-93.69329712,135.92330000
-93.65329712,135.92330000
-93.61329712,135.92330000
-93.57329712,135.92330000
-93.53329712,135.92330000
-93.49329712,135.92330000
-93.45329712,135.92330000
-93.41329712,135.92330000
-93.37329712,135.92330000
-93.33329712,135.92330000
-93.29329712,135.92330000
-93.25329712,135.92330000
-93.21329712,135.92330000
-93.17329712,135.92330000
-93.13329712,135.92330000
-93.09329712,135.92330000
-93.05329712,135.92330000
-93.01329712,135.92330000
-92.97329712,134.15940000
-92.93329712,135.92330000
-92.89329712,135.92330000
-92.85329712,134.15940000
-92.81329712,134.15940000
-92.77329712,134.15940000
-92.73329712,134.15940000
-92.69329712,134.15940000
-92.65329712,134.15940000
-92.61329712,132.39540000
-92.57329712,134.15940000
-92.53329712,134.15940000
-92.49329712,132.39540000
-92.45329712,130.63140000
-92.41329712,130.63140000
-92.37329713,130.63140000
-92.33329713,130.63140000
-92.29329713,130.63140000
-92.25329713,128.86740000
-92.21329713,128.86740000
-92.17329713,128.86740000
-92.13329713,128.86740000
-92.09329713,128.86740000
-92.05329713,128.86740000
-92.01329713,127.10350000
-91.97329713,127.10350000
-91.93329713,127.10350000
-91.89329713,127.10350000
-91.85329713,123.57550000
-91.81329713,123.57550000
-91.77329713,123.57550000
-91.73329713,123.57550000
-91.69329713,123.57550000
-91.65329713,121.81160000
-91.61329713,121.81160000
-91.57329713,121.81160000
-91.53329713,121.81160000
-91.49329713,120.04760000
-91.45329713,120.04760000
-91.41329713,120.04760000
-91.37329713,118.28360000
-91.33329713,116.51970000
-91.29329713,116.51970000
-91.25329713,114.75570000
-91.21329713,114.75570000
-91.17329713,114.75570000
-91.13329713,114.75570000
-91.09329713,112.98560000
-91.05329713,112.98560000
-91.01329713,112.98560000
-90.97329713,109.45770000
-90.93329713,109.45770000
-90.89329713,109.45770000
-90.85329713,107.69370000
-90.81329713,107.69370000
-90.77329713,107.69370000
-90.73329714,107.69370000
-90.69329714,105.92970000
-90.65329714,105.92970000
-90.61329714,104.16580000
-90.57329714,102.40180000
-90.53329714,100.63780000
-90.49329714,100.63780000
-90.45329714,100.63780000
-90.41329714,98.87386000
-90.37329714,97.10989000
-90.33329714,95.34592000
-90.29329714,95.34592000
-90.25329714,95.34592000
-90.21329714,93.58195000
-90.17329714,93.58195000
-90.13329714,91.81799000
-90.09329714,91.81799000
-90.05329714,90.05402000
-90.01329714,90.05402000
-89.97329714,88.29005000
-89.93329714,86.52608000
-89.89329714,86.52608000
-89.85329714,84.75600000
-89.81329714,84.75600000
-89.77329714,81.22807000
-89.73329714,81.22807000
-89.69329714,81.22807000
-89.65329714,79.46410000
-89.61329714,79.46410000
-89.57329714,77.70013000
-89.53329714,77.70013000
-89.49329714,75.93616000
-89.45329714,74.17219000
-89.41329714,74.17219000
-89.37329714,72.40822000
-89.33329714,72.40822000
-89.29329714,70.64425000
-89.25329714,68.88028000
-89.21329714,67.11631000
-89.17329714,65.35233000
-89.13329714,65.35233000
-89.09329715,65.35233000
-89.05329715,63.58836000
-89.01329715,60.06042000
-88.97329715,60.06042000
-88.93329715,58.29646000
-88.89329715,58.29646000
-88.85329715,58.29646000
-88.81329715,56.52638000
-88.77329715,52.99844000
-88.73329715,52.99844000
-88.69329715,51.23447000
-88.65329715,51.23447000
-88.61329715,49.47050000
-88.57329715,49.47050000
-88.53329715,47.70654000
-88.49329715,45.94257000
-88.45329715,44.17860000
-88.41329715,44.17860000
-88.37329715,42.41463000
-88.33329715,40.65065000
-88.29329715,38.88668000
-88.25329715,37.12271000
-88.21329715,37.12271000
-88.17329715,37.12271000
-88.13329715,35.35874000
-88.09329715,33.59477000
-88.05329715,31.83080000
-88.01329715,30.06684000
-87.97329715,30.06684000
-87.93329715,28.29676000
-87.89329715,28.29676000
-87.85329715,24.76882000
-87.81329715,24.76882000
-87.77329715,23.00485000
-87.73329715,21.24088000
-87.69329715,21.24088000
-87.65329715,19.47691000
-87.61329715,17.71294000
-87.57329715,15.94897000
-87.53329715,15.94897000
-87.49329715,14.18500000
-87.45329716,12.42103000
-87.41329716,10.65706000
-87.37329716,8.89309300
-87.33329716,8.89309300
-87.29329716,8.89309300
-87.25329716,5.36515400
-87.21329716,3.60118400
-87.17329716,3.60118400
-87.13329716,1.83721400
-87.09329716,1.83721400
-87.05329716,0.07324442
-87.01329716,-1.69072500
-86.97329716,-3.45469500
-86.93329716,-5.21866500
-86.89329716,-5.21866500
-86.85329716,-6.98263500
-86.81329716,-8.74660500
-86.77329716,-10.51057000
-86.73329716,-10.51057000
-86.69329716,-12.27454000
-86.65329716,-14.03851000
-86.61329716,-14.03851000
-86.57329716,-15.80248000
-86.53329716,-17.56645000
-86.49329716,-19.33042000
-86.45329716,-19.33042000
-86.41329716,-21.09439000
-86.37329716,-22.85836000
-86.33329716,-24.62233000
-86.29329716,-24.62233000
-86.25329716,-26.39241000
-86.21329716,-26.39241000
-86.17329716,-28.15638000
-86.13329716,-31.68431000
-86.09329716,-31.68431000
-86.05329716,-33.44828000
-86.01329716,-33.44828000
-85.97329716,-33.44828000
-85.93329716,-35.21225000
-85.89329716,-36.97623000
-85.85329716,-38.74020000
-85.81329717,-40.50417000
-85.77329717,-40.50417000
-85.73329717,-42.26814000
-85.69329717,-44.03210000
-85.65329717,-45.79607000
-85.61329717,-45.79607000
-85.57329717,-47.56004000
-85.53329717,-49.32401000
-85.49329717,-49.32401000
-85.45329717,-51.08798000
-85.41329717,-52.85195000
-85.37329717,-54.62203000
-85.33329717,-54.62203000
-85.29329717,-54.62203000
-85.25329717,-56.38600000
-85.21329717,-56.38600000
-85.17329717,-59.91394000
-85.13329717,-59.91394000
-85.09329717,-61.67791000
-85.05329717,-61.67791000
-85.01329717,-63.44188000
-84.97329717,-63.44188000
-84.93329717,-65.20585000
-84.89329717,-66.96982000
-84.85329717,-68.73379000
-84.81329717,-68.73379000
-84.77329717,-68.73379000
-84.73329717,-70.49776000
-84.69329717,-72.26173000
-84.65329717,-74.02570000
-84.61329717,-74.02570000
-84.57329717,-75.78967000
-84.53329717,-75.78967000
-84.49329717,-77.55363000
-84.45329717,-77.55363000
-84.41329717,-79.31760000
-84.37329717,-79.31760000
-84.33329717,-81.08157000
-84.29329717,-82.85165000
-84.25329717,-82.85165000
-84.21329717,-82.85165000
-84.17329718,-84.61562000
-84.13329718,-84.61562000
-84.09329718,-86.37959000
-84.05329718,-88.14356000
-84.01329718,-88.14356000
-83.97329718,-89.90753000
-83.93329718,-89.90753000
-83.89329718,-91.67150000
-83.85329718,-91.67150000
-83.81329718,-91.67150000
-83.77329718,-93.43547000
-83.73329718,-95.19944000
-83.69329718,-95.19944000
-83.65329718,-96.96341000
-83.61329718,-96.96341000
-83.57329718,-96.96341000
-83.53329718,-98.72738000
-83.49329718,-98.72738000
-83.45329718,-98.72738000
-83.41329718,-100.49130000
-83.37329718,-102.25530000
-83.33329718,-104.01930000
-83.29329718,-104.01930000
-83.25329718,-104.01930000
-83.21329718,-104.01930000
-83.17329718,-105.78330000
-83.13329718,-104.01930000
-83.09329718,-105.78330000
-83.05329718,-107.54720000
-83.01329718,-109.31120000
-82.97329718,-107.54720000
-82.93329718,-109.31120000
-82.89329718,-109.31120000
-82.85329718,-111.08130000
-82.81329718,-111.08130000
-82.77329718,-111.08130000
-82.73329718,-111.08130000
-82.69329718,-112.84520000
-82.65329718,-112.84520000
-82.61329718,-112.84520000
-82.57329718,-114.60920000
-82.53329718,-114.60920000
-82.49329719,-116.37320000
-82.45329719,-116.37320000
-82.41329719,-118.13720000
-82.37329719,-116.37320000
-82.33329719,-116.37320000
-82.29329719,-118.13720000
-82.25329719,-118.13720000
-82.21329719,-118.13720000
-82.17329719,-118.13720000
-82.13329719,-118.13720000
-82.09329719,-118.13720000
-82.05329719,-118.13720000
-82.01329719,-119.90110000
-81.97329719,-119.90110000
-81.93329719,-119.90110000
-81.89329719,-119.90110000
-81.85329719,-119.90110000
-81.81329719,-119.90110000
-81.77329719,-121.66510000
-81.73329719,-119.90110000
-81.69329719,-121.66510000
-81.65329719,-121.66510000
-81.61329719,-123.42910000
-81.57329719,-123.42910000
-81.53329719,-123.42910000
-81.49329719,-123.42910000
-81.45329719,-123.42910000
-81.41329719,-123.42910000
-81.37329719,-123.42910000
-81.33329719,-123.42910000
-81.29329719,-123.42910000
-81.25329719,-125.19300000
-81.21329719,-125.19300000
-81.17329719,-125.19300000
-81.13329719,-125.19300000
-81.09329719,-125.19300000
-81.05329719,-125.19300000
-81.01329719,-125.19300000
-80.97329719,-125.19300000
-80.93329719,-125.19300000
-80.89329719,-125.19300000
-80.85329720,-125.19300000
-80.81329720,-123.42910000
-80.77329720,-125.19300000
-80.73329720,-123.42910000
-80.69329720,-123.42910000
-80.65329720,-125.19300000
-80.61329720,-123.42910000
-80.57329720,-123.42910000
-80.53329720,-123.42910000
-80.49329720,-123.42910000
-80.45329720,-123.42910000
