Time,Channel B
(us),(mV)

-100.08794925,-6.98263500
-100.04794925,-5.21866500
-100.00794925,-3.45469500
-99.96794925,-1.69072500
-99.92794925,0.07324442
-99.88794925,1.83721400
-99.84794925,3.60118400
-99.80794925,5.36515400
-99.76794925,7.12912400
-99.72794925,8.89309300
-99.68794925,10.65706000
-99.64794925,10.65706000
-99.60794925,14.18500000
-99.56794925,15.94897000
-99.52794925,17.71294000
-99.48794925,19.47691000
-99.44794925,21.24088000
-99.40794925,23.00485000
-99.36794925,24.76882000
-99.32794925,26.53279000
-99.28794925,26.53279000
-99.24794925,30.06684000
-99.20794925,31.83080000
-99.16794926,31.83080000
-99.12794926,35.35874000
-99.08794926,37.12271000
-99.04794926,37.12271000
-99.00794926,38.88668000
-98.96794926,42.41463000
-98.92794926,44.17860000
-98.88794926,44.17860000
-98.84794926,47.70654000
-98.80794926,49.47050000
-98.76794926,49.47050000
-98.72794926,52.99844000
-98.68794926,52.99844000
-98.64794926,56.52638000
-98.60794926,58.29646000
-98.56794926,58.29646000
-98.52794926,60.06042000
-98.48794926,63.58836000
-98.44794926,63.58836000
-98.40794926,65.35233000
-98.36794926,67.11631000
-98.32794926,70.64425000
-98.28794926,70.64425000
-98.24794926,72.40822000
-98.20794926,72.40822000
-98.16794926,75.93616000
-98.12794926,77.70013000
-98.08794926,79.46410000
-98.04794926,79.46410000
-98.00794926,81.22807000
-97.96794926,82.99203000
-97.92794926,86.52608000
-97.88794926,86.52608000
-97.84794926,88.29005000
-97.80794926,88.29005000
-97.76794926,91.81799000
-97.72794926,91.81799000
-97.68794926,93.58195000
-97.64794926,95.34592000
-97.60794926,95.34592000
-97.56794926,98.87386000
-97.52794926,100.63780000
-97.48794927,100.63780000
-97.44794927,102.40180000
-97.40794927,104.16580000
-97.36794927,105.92970000
-97.32794927,107.69370000
-97.28794927,107.69370000
-97.24794927,109.45770000
-97.20794927,112.98560000
-97.16794927,112.98560000
-97.12794927,114.75570000
-97.08794927,114.75570000
-97.04794927,114.75570000
-97.00794927,118.28360000
-96.96794927,120.04760000
-96.92794927,121.81160000
-96.88794927,121.81160000
-96.84794927,123.57550000
-96.80794927,123.57550000
-96.76794927,127.10350000
-96.72794927,127.10350000
-96.68794927,128.86740000
-96.64794927,128.86740000
-96.60794927,130.63140000
-96.56794927,130.63140000
-96.52794927,134.15940000
-96.48794927,134.15940000
-96.44794927,135.92330000
-96.40794927,135.92330000
-96.36794927,135.92330000
-96.32794927,141.21520000
-96.28794927,141.21520000
-96.24794927,141.21520000
-96.20794927,142.98530000
-96.16794927,142.98530000
-96.12794927,142.98530000
-96.08794927,144.74930000
-96.04794927,148.27720000
-96.00794927,148.27720000
-95.96794927,148.27720000
-95.92794927,150.04120000
-95.88794927,150.04120000
-95.84794928,150.04120000
-95.80794928,151.80520000
-95.76794928,151.80520000
-95.72794928,155.33310000
-95.68794928,155.33310000
-95.64794928,155.33310000
-95.60794928,157.09710000
-95.56794928,157.09710000
-95.52794928,157.09710000
-95.48794928,157.09710000
-95.44794928,158.86110000
-95.40794928,160.62500000
-95.36794928,162.38900000
-95.32794928,162.38900000
-95.28794928,162.38900000
-95.24794928,164.15300000
-95.20794928,164.15300000
-95.16794928,164.15300000
-95.12794928,164.15300000
-95.08794928,165.91690000
-95.04794928,165.91690000
-95.00794928,167.68090000
-94.96794928,167.68090000
-94.92794928,169.44490000
-94.88794928,169.44490000
-94.84794928,169.44490000
-94.80794928,171.21490000
-94.76794928,171.21490000
-94.72794928,171.21490000
-94.68794928,171.21490000
-94.64794928,171.21490000
-94.60794928,171.21490000
-94.56794928,171.21490000
-94.52794928,172.97890000
-94.48794928,172.97890000
-94.44794928,174.74290000
-94.40794928,174.74290000
-94.36794928,174.74290000
-94.32794928,174.74290000
-94.28794928,176.50690000
-94.24794928,176.50690000
-94.20794929,176.50690000
-94.16794929,176.50690000
-94.12794929,176.50690000
-94.08794929,176.50690000
-94.04794929,176.50690000
-94.00794929,176.50690000
-93.96794929,176.50690000
-93.92794929,176.50690000
-93.88794929,178.27080000
-93.84794929,178.27080000
-93.80794929,178.27080000
-93.76794929,178.27080000
-93.72794929,178.27080000
-93.68794929,178.27080000
-93.64794929,178.27080000
-93.60794929,178.27080000
-93.56794929,178.27080000
-93.52794929,178.27080000
-93.48794929,178.27080000
-93.44794929,178.27080000
-93.40794929,178.27080000
-93.36794929,178.27080000
-93.32794929,178.27080000
-93.28794929,176.50690000
-93.24794929,178.27080000
-93.20794929,176.50690000
-93.16794929,176.50690000
-93.12794929,176.50690000
-93.08794929,176.50690000
-93.04794929,176.50690000
-93.00794929,176.50690000
-92.96794929,176.50690000
-92.92794929,176.50690000
-92.88794929,174.74290000
-92.84794929,174.74290000
-92.80794929,174.74290000
-92.76794929,172.97890000
-92.72794929,172.97890000
-92.68794929,172.97890000
-92.64794929,172.97890000
-92.60794929,171.21490000
-92.56794930,171.21490000
-92.52794930,171.21490000
-92.48794930,171.21490000
-92.44794930,169.44490000
-92.40794930,171.21490000
-92.36794930,169.44490000
-92.32794930,169.44490000
-92.28794930,169.44490000
-92.24794930,167.68090000
-92.20794930,165.91690000
-92.16794930,165.91690000
-92.12794930,165.91690000
-92.08794930,165.91690000
-92.04794930,164.15300000
-92.00794930,164.15300000
-91.96794930,164.15300000
-91.92794930,162.38900000
-91.88794930,162.38900000
-91.84794930,162.38900000
-91.80794930,162.38900000
-91.76794930,158.86110000
-91.72794930,157.09710000
-91.68794930,157.09710000
-91.64794930,157.09710000
-91.60794930,155.33310000
-91.56794930,155.33310000
-91.52794930,155.33310000
-91.48794930,151.80520000
-91.44794930,151.80520000
-91.40794930,151.80520000
-91.36794930,150.04120000
-91.32794930,150.04120000
-91.28794930,148.27720000
-91.24794930,148.27720000
-91.20794930,146.51330000
-91.16794930,144.74930000
-91.12794930,144.74930000
-91.08794930,144.74930000
-91.04794930,142.98530000
-91.00794930,142.98530000
-90.96794930,141.21520000
-90.92794931,141.21520000
-90.88794931,137.68730000
-90.84794931,137.68730000
-90.80794931,135.92330000
-90.76794931,135.92330000
-90.72794931,134.15940000
-90.68794931,132.39540000
-90.64794931,132.39540000
-90.60794931,130.63140000
-90.56794931,128.86740000
-90.52794931,128.86740000
-90.48794931,127.10350000
-90.44794931,127.10350000
-90.40794931,123.57550000
-90.36794931,121.81160000
-90.32794931,121.81160000
-90.28794931,120.04760000
-90.24794931,118.28360000
-90.20794931,118.28360000
-90.16794931,116.51970000
-90.12794931,114.75570000
-90.08794931,112.98560000
-90.04794931,112.98560000
-90.00794931,111.22170000
-89.96794931,109.45770000
-89.92794931,107.69370000
-89.88794931,107.69370000
-89.84794931,105.92970000
-89.80794931,105.92970000
-89.76794931,102.40180000
-89.72794931,100.63780000
-89.68794931,100.63780000
-89.64794931,98.87386000
-89.60794931,97.10989000
-89.56794931,93.58195000
-89.52794931,93.58195000
-89.48794931,93.58195000
-89.44794931,88.29005000
-89.40794931,90.05402000
-89.36794931,88.29005000
-89.32794931,86.52608000
-89.28794932,82.99203000
-89.24794932,82.99203000
-89.20794932,81.22807000
-89.16794932,79.46410000
-89.12794932,79.46410000
-89.08794932,77.70013000
-89.04794932,74.17219000
-89.00794932,72.40822000
-88.96794932,72.40822000
-88.92794932,70.64425000
-88.88794932,67.11631000
-88.84794932,65.35233000
-88.80794932,65.35233000
-88.76794932,63.58836000
-88.72794932,61.82440000
-88.68794932,60.06042000
-88.64794932,58.29646000
-88.60794932,56.52638000
-88.56794932,56.52638000
-88.52794932,52.99844000
-88.48794932,51.23447000
-88.44794932,49.47050000
-88.40794932,49.47050000
-88.36794932,45.94257000
-88.32794932,44.17860000
-88.28794932,44.17860000
-88.24794932,42.41463000
-88.20794932,38.88668000
-88.16794932,37.12271000
-88.12794932,37.12271000
-88.08794932,35.35874000
-88.04794932,33.59477000
-88.00794932,31.83080000
-87.96794932,30.06684000
-87.92794932,28.29676000
-87.88794932,26.53279000
-87.84794932,24.76882000
-87.80794932,23.00485000
-87.76794932,21.24088000
-87.72794932,19.47691000
-87.68794932,17.71294000
-87.64794933,15.94897000
-87.60794933,14.18500000
-87.56794933,10.65706000
-87.52794933,10.65706000
-87.48794933,8.89309300
-87.44794933,7.12912400
-87.40794933,3.60118400
-87.36794933,3.60118400
-87.32794933,1.83721400
-87.28794933,0.07324442
-87.24794933,-1.69072500
-87.20794933,-5.21866500
-87.16794933,-5.21866500
-87.12794933,-6.98263500
-87.08794933,-10.51057000
-87.04794933,-12.27454000
-87.00794933,-12.27454000
-86.96794933,-14.03851000
-86.92794933,-17.56645000
-86.88794933,-17.56645000
-86.84794933,-21.09439000
-86.80794933,-21.09439000
-86.76794933,-24.62233000
-86.72794933,-26.39241000
-86.68794933,-26.39241000
-86.64794933,-28.15638000
-86.60794933,-29.92035000
-86.56794933,-31.68431000
-86.52794933,-33.44828000
-86.48794933,-33.44828000
-86.44794933,-35.21225000
-86.40794933,-38.74020000
-86.36794933,-40.50417000
-86.32794933,-42.26814000
-86.28794933,-42.26814000
-86.24794933,-45.79607000
-86.20794933,-47.56004000
-86.16794933,-49.32401000
-86.12794933,-51.08798000
-86.08794933,-52.85195000
-86.04794933,-54.62203000
-86.00794933,-56.38600000
-85.96794934,-56.38600000
-85.92794934,-58.14997000
-85.88794934,-61.67791000
-85.84794934,-61.67791000
-85.80794934,-63.44188000
-85.76794934,-65.20585000
-85.72794934,-68.73379000
-85.68794934,-68.73379000
-85.64794934,-70.49776000
-85.60794934,-72.26173000
-85.56794934,-74.02570000
-85.52794934,-75.78967000
-85.48794934,-75.78967000
-85.44794934,-77.55363000
-85.40794934,-81.08157000
-85.36794934,-81.08157000
-85.32794934,-82.85165000
-85.28794934,-84.61562000
-85.24794934,-86.37959000
-85.20794934,-88.14356000
-85.16794934,-88.14356000
-85.12794934,-89.90753000
-85.08794934,-91.67150000
-85.04794934,-93.43547000
-85.00794934,-95.19944000
-84.96794934,-96.96341000
-84.92794934,-96.96341000
-84.88794934,-98.72738000
-84.84794934,-100.49130000
-84.80794934,-104.01930000
-84.76794934,-104.01930000
-84.72794934,-104.01930000
-84.68794934,-105.78330000
-84.64794934,-107.54720000
-84.60794934,-111.08130000
-84.56794934,-111.08130000
-84.52794934,-111.08130000
-84.48794934,-111.08130000
-84.44794934,-114.60920000
-84.40794934,-114.60920000
-84.36794934,-116.37320000
-84.32794935,-118.13720000
-84.28794935,-118.13720000
-84.24794935,-119.90110000
-84.20794935,-121.66510000
-84.16794935,-125.19300000
-84.12794935,-125.19300000
-84.08794935,-125.19300000
-84.04794935,-126.95700000
-84.00794935,-128.72100000
-83.96794935,-130.48490000
-83.92794935,-130.48490000
-83.88794935,-132.24890000
-83.84794935,-132.24890000
-83.80794935,-134.01290000
-83.76794935,-134.01290000
-83.72794935,-135.77680000
-83.68794935,-137.54080000
-83.64794935,-139.31090000
-83.60794935,-139.31090000
-83.56794935,-139.31090000
-83.52794935,-141.07490000
-83.48794935,-141.07490000
-83.44794935,-142.83880000
-83.40794935,-142.83880000
-83.36794935,-144.60280000
-83.32794935,-146.36680000
-83.28794935,-146.36680000
-83.24794935,-146.36680000
-83.20794935,-148.13070000
-83.16794935,-149.89470000
-83.12794935,-149.89470000
-83.08794935,-151.65870000
-83.04794935,-151.65870000
-83.00794935,-151.65870000
-82.96794935,-153.42260000
-82.92794935,-153.42260000
-82.88794935,-155.18660000
-82.84794935,-155.18660000
-82.80794935,-156.95060000
-82.76794935,-156.95060000
-82.72794935,-156.95060000
-82.68794936,-158.71460000
-82.64794936,-160.47850000
-82.60794936,-160.47850000
-82.56794936,-160.47850000
-82.52794936,-160.47850000
-82.48794936,-160.47850000
-82.44794936,-162.24250000
-82.40794936,-162.24250000
-82.36794936,-164.00650000
-82.32794936,-164.00650000
-82.28794936,-164.00650000
-82.24794936,-165.77040000
-82.20794936,-165.77040000
-82.16794936,-167.54050000
-82.12794936,-167.54050000
-82.08794936,-167.54050000
-82.04794936,-167.54050000
-82.00794936,-167.54050000
-81.96794936,-167.54050000
-81.92794936,-167.54050000
-81.88794936,-167.54050000
-81.84794936,-169.30450000
-81.80794936,-169.30450000
-81.76794936,-169.30450000
-81.72794936,-171.06850000
-81.68794936,-171.06850000
-81.64794936,-169.30450000
-81.60794936,-172.83240000
-81.56794936,-171.06850000
-81.52794936,-169.30450000
-81.48794936,-172.83240000
-81.44794936,-172.83240000
-81.40794936,-171.06850000
-81.36794936,-171.06850000
-81.32794936,-172.83240000
-81.28794936,-172.83240000
-81.24794936,-172.83240000
-81.20794936,-172.83240000
-81.16794936,-172.83240000
-81.12794936,-172.83240000
-81.08794936,-172.83240000
-81.04794937,-172.83240000
-81.00794937,-172.83240000
-80.96794937,-172.83240000
-80.92794937,-172.83240000
-80.88794937,-172.83240000
-80.84794937,-172.83240000
-80.80794937,-172.83240000
-80.76794937,-171.06850000
-80.72794937,-171.06850000
-80.68794937,-171.06850000
-80.64794937,-171.06850000
-80.60794937,-171.06850000
-80.56794937,-171.06850000
-80.52794937,-169.30450000
-80.48794937,-169.30450000
-80.44794937,-169.30450000
