Time,Channel B
(us),(mV)

-100.11033737,-12.26844000
-100.07033737,-12.26844000
-100.03033737,-7.85851600
-99.99033737,-3.44859100
-99.95033737,0.96133300
-99.91033737,5.37125700
-99.87033737,5.37125700
-99.83033737,5.37125700
-99.79033737,9.78118100
-99.75033737,18.60103000
-99.71033737,18.60103000
-99.67033737,23.01095000
-99.63033737,23.01095000
-99.59033737,27.42088000
-99.55033737,31.83080000
-99.51033737,36.24073000
-99.47033737,40.65065000
-99.43033738,40.65065000
-99.39033738,45.06058000
-99.35033738,45.06058000
-99.31033738,53.89569000
-99.27033738,53.89569000
-99.23033738,58.30561000
-99.19033738,62.71553000
-99.15033738,62.71553000
-99.11033738,67.12546000
-99.07033738,71.53539000
-99.03033738,75.94530000
-98.99033738,75.94530000
-98.95033738,80.35523000
-98.91033738,80.35523000
-98.87033738,84.76515000
-98.83033738,89.17508000
-98.79033738,93.58500000
-98.75033738,93.58500000
-98.71033738,97.99493000
-98.67033738,102.42010000
-98.63033738,106.83000000
-98.59033738,111.24000000
-98.55033738,111.24000000
-98.51033738,111.24000000
-98.47033738,115.64990000
-98.43033738,124.46970000
-98.39033738,124.46970000
-98.35033738,128.87970000
-98.31033738,128.87970000
-98.27033738,133.28960000
-98.23033738,137.69950000
-98.19033738,137.69950000
-98.15033738,142.10940000
-98.11033738,146.53460000
-98.07033738,146.53460000
-98.03033738,150.94450000
-97.99033738,150.94450000
-97.95033738,155.35450000
-97.91033738,159.76440000
-97.87033738,159.76440000
-97.83033738,164.17430000
-97.79033739,164.17430000
-97.75033739,168.58420000
-97.71033739,172.99420000
-97.67033739,177.40410000
-97.63033739,181.81400000
-97.59033739,181.81400000
-97.55033739,181.81400000
-97.51033739,186.22390000
-97.47033739,190.63390000
-97.43033739,195.05900000
-97.39033739,195.05900000
-97.35033739,195.05900000
-97.31033739,199.46900000
-97.27033739,199.46900000
-97.23033739,203.87890000
-97.19033739,208.28880000
-97.15033739,212.69870000
-97.11033739,212.69870000
-97.07033739,217.10870000
-97.03033739,217.10870000
-96.99033739,217.10870000
-96.95033739,221.51860000
-96.91033739,221.51860000
-96.87033739,225.92850000
-96.83033739,230.33840000
-96.79033739,230.33840000
-96.75033739,230.33840000
-96.71033739,234.74840000
-96.67033739,234.74840000
-96.63033739,239.15830000
-96.59033739,239.15830000
-96.55033739,243.58350000
-96.51033739,247.99340000
-96.47033739,247.99340000
-96.43033739,252.40330000
-96.39033739,252.40330000
-96.35033739,252.40330000
-96.31033739,256.81320000
-96.27033739,261.22310000
-96.23033739,261.22310000
-96.19033739,265.63310000
-96.15033740,265.63310000
-96.11033740,270.04300000
-96.07033740,270.04300000
-96.03033740,270.04300000
-95.99033740,270.04300000
-95.95033740,274.45290000
-95.91033740,274.45290000
-95.87033740,278.86290000
-95.83033740,278.86290000
-95.79033740,283.27280000
-95.75033740,283.27280000
-95.71033740,287.69800000
-95.67033740,287.69800000
-95.63033740,287.69800000
-95.59033740,287.69800000
-95.55033740,292.10790000
-95.51033740,292.10790000
-95.47033740,292.10790000
-95.43033740,296.51780000
-95.39033740,296.51780000
-95.35033740,296.51780000
-95.31033740,300.92770000
-95.27033740,300.92770000
-95.23033740,300.92770000
-95.19033740,300.92770000
-95.15033740,305.33770000
-95.11033740,305.33770000
-95.07033740,305.33770000
-95.03033740,305.33770000
-94.99033740,305.33770000
-94.95033740,309.74760000
-94.91033740,309.74760000
-94.87033740,309.74760000
-94.83033740,309.74760000
-94.79033740,314.15750000
-94.75033740,309.74760000
-94.71033740,314.15750000
-94.67033740,318.56740000
-94.63033740,318.56740000
-94.59033740,318.56740000
-94.55033740,318.56740000
-94.51033741,322.97740000
-94.47033741,322.97740000
-94.43033741,322.97740000
-94.39033741,322.97740000
-94.35033741,322.97740000
-94.31033741,322.97740000
-94.27033741,322.97740000
-94.23033741,322.97740000
-94.19033741,322.97740000
-94.15033741,322.97740000
-94.11033741,322.97740000
-94.07033741,322.97740000
-94.03033741,322.97740000
-93.99033741,322.97740000
-93.95033741,322.97740000
-93.91033741,322.97740000
-93.87033741,322.97740000
-93.83033741,327.38730000
-93.79033741,322.97740000
-93.75033741,322.97740000
-93.71033741,327.38730000
-93.67033741,322.97740000
-93.63033741,322.97740000
-93.59033741,322.97740000
-93.55033741,322.97740000
-93.51033741,322.97740000
-93.47033741,322.97740000
-93.43033741,322.97740000
-93.39033741,322.97740000
-93.35033741,322.97740000
-93.31033741,322.97740000
-93.27033741,322.97740000
-93.23033741,322.97740000
-93.19033741,322.97740000
-93.15033741,322.97740000
-93.11033741,322.97740000
-93.07033741,322.97740000
-93.03033741,322.97740000
-92.99033741,322.97740000
-92.95033741,322.97740000
-92.91033741,322.97740000
-92.87033742,322.97740000
-92.83033742,318.56740000
-92.79033742,318.56740000
-92.75033742,318.56740000
-92.71033742,318.56740000
-92.67033742,318.56740000
-92.63033742,318.56740000
-92.59033742,314.15750000
-92.55033742,314.15750000
-92.51033742,309.74760000
-92.47033742,309.74760000
-92.43033742,309.74760000
-92.39033742,305.33770000
-92.35033742,305.33770000
-92.31033742,305.33770000
-92.27033742,305.33770000
-92.23033742,305.33770000
-92.19033742,305.33770000
-92.15033742,305.33770000
-92.11033742,300.92770000
-92.07033742,300.92770000
-92.03033742,300.92770000
-91.99033742,300.92770000
-91.95033742,296.51780000
-91.91033742,292.10790000
-91.87033742,292.10790000
-91.83033742,292.10790000
-91.79033742,287.69800000
-91.75033742,287.69800000
-91.71033742,287.69800000
-91.67033742,287.69800000
-91.63033742,283.27280000
-91.59033742,283.27280000
-91.55033742,283.27280000
-91.51033742,278.86290000
-91.47033742,274.45290000
-91.43033742,274.45290000
-91.39033742,274.45290000
-91.35033742,270.04300000
-91.31033742,270.04300000
-91.27033742,270.04300000
-91.23033742,270.04300000
-91.19033743,265.63310000
-91.15033743,261.22310000
-91.11033743,261.22310000
-91.07033743,256.81320000
-91.03033743,256.81320000
-90.99033743,252.40330000
-90.95033743,252.40330000
-90.91033743,247.99340000
-90.87033743,247.99340000
-90.83033743,247.99340000
-90.79033743,243.58350000
-90.75033743,239.15830000
-90.71033743,239.15830000
-90.67033743,234.74840000
-90.63033743,234.74840000
-90.59033743,234.74840000
-90.55033743,230.33840000
-90.51033743,230.33840000
-90.47033743,225.92850000
-90.43033743,221.51860000
-90.39033743,217.10870000
-90.35033743,217.10870000
-90.31033743,217.10870000
-90.27033743,212.69870000
-90.23033743,212.69870000
-90.19033743,208.28880000
-90.15033743,203.87890000
-90.11033743,203.87890000
-90.07033743,199.46900000
-90.03033743,199.46900000
-89.99033743,195.05900000
-89.95033743,195.05900000
-89.91033743,190.63390000
-89.87033743,186.22390000
-89.83033743,186.22390000
-89.79033743,181.81400000
-89.75033743,181.81400000
-89.71033743,177.40410000
-89.67033743,177.40410000
-89.63033743,168.58420000
-89.59033743,168.58420000
-89.55033744,164.17430000
-89.51033744,164.17430000
-89.47033744,159.76440000
-89.43033744,159.76440000
-89.39033744,155.35450000
-89.35033744,150.94450000
-89.31033744,150.94450000
-89.27033744,146.53460000
-89.23033744,142.10940000
-89.19033744,142.10940000
-89.15033744,137.69950000
-89.11033744,133.28960000
-89.07033744,128.87970000
-89.03033744,128.87970000
-88.99033744,124.46970000
-88.95033744,124.46970000
-88.91033744,120.05980000
-88.87033744,115.64990000
-88.83033744,111.24000000
-88.79033744,111.24000000
-88.75033744,106.83000000
-88.71033744,102.42010000
-88.67033744,97.99493000
-88.63033744,97.99493000
-88.59033744,93.58500000
-88.55033744,89.17508000
-88.51033744,89.17508000
-88.47033744,84.76515000
-88.43033744,80.35523000
-88.39033744,75.94530000
-88.35033744,75.94530000
-88.31033744,75.94530000
-88.27033744,71.53539000
-88.23033744,67.12546000
-88.19033744,62.71553000
-88.15033744,58.30561000
-88.11033744,58.30561000
-88.07033744,53.89569000
-88.03033744,49.47050000
-87.99033744,45.06058000
-87.95033744,40.65065000
-87.91033745,40.65065000
-87.87033745,40.65065000
-87.83033745,36.24073000
-87.79033745,27.42088000
-87.75033745,23.01095000
-87.71033745,23.01095000
-87.67033745,23.01095000
-87.63033745,18.60103000
-87.59033745,14.19111000
-87.55033745,9.78118100
-87.51033745,9.78118100
-87.47033745,5.37125700
-87.43033745,0.96133300
-87.39033745,-3.44859100
-87.35033745,-7.85851600
-87.31033745,-7.85851600
-87.27033745,-12.26844000
-87.23033745,-12.26844000
-87.19033745,-16.67836000
-87.15033745,-21.08829000
-87.11033745,-29.90814000
-87.07033745,-29.90814000
-87.03033745,-29.90814000
-86.99033745,-34.31806000
-86.95033745,-38.72799000
-86.91033745,-43.15317000
-86.87033745,-47.56310000
-86.83033745,-47.56310000
-86.79033745,-51.97302000
-86.75033745,-51.97302000
-86.71033745,-56.38294000
-86.67033745,-65.20279000
-86.63033745,-65.20279000
-86.59033745,-65.20279000
-86.55033745,-69.61272000
-86.51033745,-74.02264000
-86.47033745,-78.43256000
-86.43033745,-82.84248000
-86.39033745,-82.84248000
-86.35033745,-87.25241000
-86.31033745,-87.25241000
-86.27033746,-91.67760000
-86.23033746,-96.08752000
-86.19033746,-100.49750000
-86.15033746,-100.49750000
-86.11033746,-104.90740000
-86.07033746,-104.90740000
-86.03033746,-113.72720000
-85.99033746,-118.13710000
-85.95033746,-118.13710000
-85.91033746,-118.13710000
-85.87033746,-122.54710000
-85.83033746,-126.95700000
-85.79033746,-126.95700000
-85.75033746,-131.36690000
-85.71033746,-135.79210000
-85.67033746,-140.20200000
-85.63033746,-140.20200000
-85.59033746,-144.61190000
-85.55033746,-149.02190000
-85.51033746,-153.43180000
-85.47033746,-153.43180000
-85.43033746,-157.84170000
-85.39033746,-157.84170000
-85.35033746,-162.25160000
-85.31033746,-166.66160000
-85.27033746,-171.07150000
-85.23033746,-171.07150000
-85.19033746,-171.07150000
-85.15033746,-175.48140000
-85.11033746,-179.89130000
-85.07033746,-184.31650000
-85.03033746,-184.31650000
-84.99033746,-188.72640000
-84.95033746,-188.72640000
-84.91033746,-193.13640000
-84.87033746,-193.13640000
-84.83033746,-197.54630000
-84.79033746,-201.95620000
-84.75033746,-206.36610000
-84.71033746,-206.36610000
-84.67033746,-206.36610000
-84.63033747,-210.77610000
-84.59033747,-210.77610000
-84.55033747,-210.77610000
-84.51033747,-219.59590000
-84.47033747,-219.59590000
-84.43033747,-224.00580000
-84.39033747,-224.00580000
-84.35033747,-224.00580000
-84.31033747,-228.41580000
-84.27033747,-228.41580000
-84.23033747,-232.84100000
-84.19033747,-237.25090000
-84.15033747,-237.25090000
-84.11033747,-241.66080000
-84.07033747,-241.66080000
-84.03033747,-241.66080000
-83.99033747,-246.07070000
-83.95033747,-246.07070000
-83.91033747,-254.89060000
-83.87033747,-254.89060000
-83.83033747,-254.89060000
-83.79033747,-259.30050000
-83.75033747,-259.30050000
-83.71033747,-259.30050000
-83.67033747,-263.71040000
-83.63033747,-263.71040000
-83.59033747,-263.71040000
-83.55033747,-268.12040000
-83.51033747,-268.12040000
-83.47033747,-272.53030000
-83.43033747,-276.95550000
-83.39033747,-276.95550000
-83.35033747,-276.95550000
-83.31033747,-276.95550000
-83.27033747,-281.36540000
-83.23033747,-281.36540000
-83.19033747,-281.36540000
-83.15033747,-281.36540000
-83.11033747,-290.18520000
-83.07033747,-290.18520000
-83.03033747,-290.18520000
-82.99033748,-294.59520000
-82.95033748,-294.59520000
-82.91033748,-294.59520000
-82.87033748,-294.59520000
-82.83033748,-294.59520000
-82.79033748,-294.59520000
-82.75033748,-299.00510000
-82.71033748,-299.00510000
-82.67033748,-299.00510000
-82.63033748,-303.41500000
-82.59033748,-307.82490000
-82.55033748,-307.82490000
-82.51033748,-307.82490000
-82.47033748,-307.82490000
-82.43033748,-312.23490000
-82.39033748,-312.23490000
-82.35033748,-312.23490000
-82.31033748,-312.23490000
-82.27033748,-312.23490000
-82.23033748,-312.23490000
-82.19033748,-312.23490000
-82.15033748,-316.64480000
-82.11033748,-316.64480000
-82.07033748,-312.23490000
-82.03033748,-316.64480000
-81.99033748,-316.64480000
-81.95033748,-316.64480000
-81.91033748,-321.05470000
-81.87033748,-321.05470000
-81.83033748,-321.05470000
-81.79033748,-316.64480000
-81.75033748,-325.47990000
-81.71033748,-325.47990000
-81.67033748,-325.47990000
-81.63033748,-325.47990000
-81.59033748,-325.47990000
-81.55033748,-325.47990000
-81.51033748,-325.47990000
-81.47033748,-325.47990000
-81.43033748,-325.47990000
-81.39033748,-325.47990000
-81.35033749,-325.47990000
-81.31033749,-325.47990000
-81.27033749,-329.88980000
-81.23033749,-329.88980000
-81.19033749,-329.88980000
-81.15033749,-325.47990000
-81.11033749,-325.47990000
-81.07033749,-325.47990000
-81.03033749,-325.47990000
-80.99033749,-325.47990000
-80.95033749,-325.47990000
-80.91033749,-325.47990000
-80.87033749,-325.47990000
-80.83033749,-325.47990000
-80.79033749,-325.47990000
-80.75033749,-325.47990000
-80.71033749,-325.47990000
-80.67033749,-325.47990000
-80.63033749,-325.47990000
-80.59033749,-325.47990000
-80.55033749,-321.05470000
-80.51033749,-316.64480000
-80.47033749,-316.64480000
